Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
80,1736269,3,26,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,6699.998675,4.607580968,248038.4286,655719.3244,1735070,5,1055,527.5,99.70205615,598,457,1736220,434055.0,867343.4619,1735070,5,72,112,1.727842863,2.879738105,0,10135,1292.555556,3350.634907,11200000.0,0,1,0,1454.125,26,8192,229,2,20,0.0,0,0,0.0,0,0
53,46854,1,43,43,43,43.0,0.0,139,139,139.0,0.0,3884.406881,42.6857899,46854.0,0.0,46854,46854,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,21.34289495,21.34289495,43,139,75.0,55.42562584,3072.0,0,0,0,112.5,43,-1,-1,0,32,0.0,0,0,0.0,0,0
443,235188,4,0,0,0,0.0,0.0,37,0,18.5,26.1629509,157.3209517,25.51150569,47037.6,104914.9189,234715,3,235188,78396.0,135633.4613,235012,3,234749,234749.0,0.0,234749,234749,80,64,17.00767046,8.50383523,0,37,5.285714286,13.9846855,195.5714286,1,0,0,6.166666667,0,0,65,0,20,0.0,0,0,0.0,0,0
80,118757,4,440,440,0,110.0,220.0,860,0,215.0,430.0,10946.72314,67.3644501,16965.28571,26305.29852,71309,5,118561,39520.33333,27531.40571,71309,23328,95464,31821.33333,54324.35841,94549,201,136,136,33.68222505,33.68222505,0,860,144.4444444,305.2503526,93177.77778,0,1,0,162.5,440,29200,31,1,32,0.0,0,0,0.0,0,0
53,80636,2,76,38,38,38.0,0.0,98,98,98.0,0.0,3373.183194,49.6056352,26878.66667,46551.75222,80632,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,64,64,24.8028176,24.8028176,38,98,62.0,32.86335345,1080.0,0,0,0,77.5,76,-1,-1,1,32,0.0,0,0,0.0,0,0
80,12103669,5,30,6,6,6.0,0.0,0,0,0.0,0.0,2.478587278,0.41309788,3025917.25,6051169.185,12100000,1,12100000,3025917.25,6051169.185,12100000,1,0,0.0,0.0,0,0,100,0,0.41309788,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,998.0,998,998,12100000.0,12100000,12100000
443,65532847,13,1380,853,0,106.1538462,247.0333467,1485,0,168.3846154,431.8465272,54.46123835,0.396747604,2621313.88,4336577.124,10100000,54,61700000,5140262.333,5269446.899,10200000,895,65400000,5450139.417,5075154.225,10200000,2038,424,428,0.198373802,0.198373802,0,1485,132.1851852,340.4476733,115904.6182,0,1,0,137.2692308,1380,29200,5760,3,32,204924.1667,575145,130625,10100000.0,10100000,9971995
39654,31,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,64516.1290322581,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,32258.064516129,32258.064516129,0,0,0.0,0.0,0.0,0,0,1,0.0,0,227,229,0,32,0.0,0,0,0.0,0,0
80,45774545,6,36,6,6,6.0,0.0,0,0,0.0,0.0,0.786463306,0.240308232,4577454.5,4974934.401,10000000,23414,45800000,9154909.0,1959722.359,10000000,5649255,40100000,10000000.0,3394.609501,10000000,10000000,120,160,0.131077218,0.109231015,0,6,3.5,3.089571903,9.545454545,0,0,1,3.818181818,36,256,290,5,20,23465.5,23505,23414,10000000.0,10000000,10000000
53,23961,2,56,28,28,28.0,0.0,223,223,223.0,0.0,20950.71157,166.9379408,7987.0,13826.9616,23953,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,40,40,83.46897041,83.46897041,28,223,106.0,106.8058987,11407.5,0,0,0,132.5,56,-1,-1,1,20,0.0,0,0,0.0,0,0
443,117150271,18,990,304,0,55.0,87.2103609603,1460,0,755.35,696.7091271792,137.4047184236,0.3243697149,3166223.54054054,13386093.0218032,58554222,4,117150271,6891192.41176471,19399615.6410617,58554222,19,117056725,6160880.2631579,18428938.1516424,58633862,4,372,412,0.1536488123,0.1707209026,0,1460,412.7435897436,610.7276384061,372988.24831309,0,1,0,423.6052631579,990,8192,127,17,20,126275.0,172834,79716,58402107.5,58554222,58249993
53,31129,2,94,47,47,47.0,0.0,98,98,98.0,0.0,9316.0718301263,128.4975424845,10376.3333333333,17966.2743587349,31122,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,64,64,64.2487712423,64.2487712423,47,98,67.4,27.9338504328,780.3,0,0,0,84.25,94,-1,-1,1,32,0.0,0,0,0.0,0,0
53,184,2,82,41,41,41.0,0.0,57,57,57.0,0.0,1065217.39130435,21739.1304347826,61.3333333333,66.0176744011,133,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,40,40,10869.5652173913,10869.5652173913,41,57,47.4,8.7635609201,76.8,0,0,0,59.25,82,-1,-1,1,20,0.0,0,0,0.0,0,0
80,5766475,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.040497011,1153295.0,1697223.518,3976969,43,5766475,1922158.333,1882657.337,3976969,280169,1509344,1509344.0,0.0,1509344,1509344,136,80,0.693664674,0.346832337,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,11584,0,32,0.0,0,0,0.0,0,0
80,85570051,7,326,320,0,46.57142857,120.5913998,5792,0,1932.5,2181.008184,139.3127603,0.151922312,7130837.583,24700000.0,85400000,1,85400000,14200000.0,34900000.0,85400000,1,143492,28698.4,56933.49472,130040,46,220,200,0.081804322,0.07011799,0,5792,851.5,1667.40299,2780232.731,0,0,1,917.0,326,274,235,2,20,2951.0,2951,2951,85400000.0,85400000,85400000
443,65101884,15,944,623,0,62.93333333,164.820884,1460,0,337.625,560.0201038,97.47797775,0.476176696,2170062.8,4036195.142,10000000,3,65100000,4650134.571,4931188.2,10100000,16171,65100000,4336706.733,4944098.691,10100000,89,312,324,0.230408079,0.245768617,0,1460,198.3125,429.1562944,184175.125,0,1,0,204.7096774,944,8192,31150,9,20,847731.5,4832785,50573,9972868.167,10000000,9796741
443,60593242,14,1172,793,0,83.7142857143,211.9907213396,1646,0,371.5,659.6185536836,92.9146520993,0.4290907557,2423729.68,4332707.54571453,10012284,44,60593242,4661018.61538462,5163992.55433377,10062469,1234,60542774,5503888.54545455,5192483.05659091,10062591,203,292,312,0.2310488685,0.1980418872,0,1646,208.5185185185,478.4021779577,228868.643874644,0,1,0,216.5384615385,1172,8192,68,13,20,121276.666666667,475876,50111,9977576.0,10012284,9846170
53,151,2,76,38,38,38.0,0.0,90,90,90.0,0.0,1695364.238,26490.06623,50.33333333,81.11925378,144,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,64,64,13245.03311,13245.03311,38,90,58.8,28.48157299,811.2,0,0,0,73.5,76,-1,-1,1,32,0.0,0,0,0.0,0,0
53,158,2,50,25,25,25.0,0.0,57,57,57.0,0.0,1037974.6835443,25316.4556962025,52.6666666667,86.0251901093,152,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,64,64,12658.2278481013,12658.2278481013,25,57,37.8,17.5271218402,307.2,0,0,0,47.25,50,-1,-1,1,32,0.0,0,0,0.0,0,0
53,30493,1,39,39,39,39.0,0.0,87,87,87.0,0.0,4132.095891,65.58882366,30493.0,0.0,30493,30493,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,32,32.79441183,32.79441183,39,87,55.0,27.71281292,768.0,0,0,0,82.5,39,-1,-1,0,20,0.0,0,0,0.0,0,0
7309,27,1,6,6,6,6.0,0.0,6,6,6.0,0.0,444444.4444,74074.07407,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,37037.03704,37037.03704,6,6,6.0,0.0,0.0,0,0,1,9.0,6,8190,64240,0,20,0.0,0,0,0.0,0,0
53,186,2,88,44,44,44.0,0.0,94,94,94.0,0.0,1483870.968,21505.37634,62.0,103.9278596,182,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,64,64,10752.68817,10752.68817,44,94,64.0,27.38612788,750.0,0,0,0,80.0,88,-1,-1,1,32,0.0,0,0,0.0,0,0
53,1747236,2,102,52,50,51.0,1.414213562,129,66,97.5,44.54772721,169.9827613,2.289330119,582412.0,987763.505,1722905,610,1746626,1746626.0,0.0,1746626,1746626,1723515,1723515.0,0.0,1723515,1723515,40,52,1.14466506,1.14466506,50,129,69.4,33.98234836,1154.8,0,0,0,86.75,102,-1,-1,1,20,0.0,0,0,0.0,0,0
80,99147725,6,380,362,0,63.33333333,146.3457094,5792,0,1656.428571,2120.732252,120.7793724,0.131117482,8262310.417,28600000.0,99000000,46,99000000,19800000.0,44300000.0,99000000,191,99100000,16500000.0,40400000.0,99000000,46,164,232,0.060515761,0.070601721,0,5792,855.7857143,1665.702447,2774564.643,1,0,0,921.6153846,380,0,235,3,20,13006.0,13006,13006,99000000.0,99000000,99000000
80,84549133,6,353,335,0,58.83333333,135.3254103,4344,0,1656.428571,1760.597234,141.3142817,0.153756751,7045761.083,24400000.0,84400000,47,84400000,16900000.0,37700000.0,84400000,992,84500000,14100000.0,34400000.0,84400000,47,164,232,0.070964654,0.082792097,0,4344,853.8571429,1459.975387,2131528.132,1,0,0,919.5384615,353,0,235,3,20,10996.0,10996,10996,84400000.0,84400000,84400000
54899,1,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,40,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,335,-1,0,20,0.0,0,0,0.0,0,0
80,86152689,6,330,330,0,55.0,134.7219359,5792,0,1656.428571,2118.227235,138.4170377,0.150894884,7179390.75,24800000.0,85900000,1,86000000,17200000.0,38400000.0,85900000,1,211015,35169.16667,75872.76826,189116,46,200,232,0.069643793,0.081251091,0,5792,851.7857143,1665.924653,2775304.951,0,0,1,917.3076923,330,251,235,1,32,5.0,5,5,85900000.0,85900000,85900000
4887,60,1,6,6,6,6.0,0.0,6,6,6.0,0.0,300000.0,50000.0,30.0,25.4558441227,48,12,0,0.0,0.0,0,0,48,48.0,0.0,48,48,20,40,16666.6666666667,33333.3333333333,6,6,6.0,0.0,0.0,0,0,1,8.0,6,245,256,0,20,0.0,0,0,0.0,0,0
443,117234,10,758,517,0,75.8,161.6139432929,1221,0,271.8,533.973033027,18057.9012914342,127.9492297456,8373.8571428572,13077.1389770154,32254,3,117234,13026.0,16051.7617101675,35154,3,78393,19598.25,21376.3180392851,42699,48,332,168,85.2994864971,42.6497432485,0,1221,132.3125,318.5704984772,101487.1625,0,1,0,141.1333333333,758,65535,62,5,32,0.0,0,0,0.0,0,0
443,105411080,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.028460006,52700000.0,74500000.0,105000000,36,105000000,52700000.0,74500000.0,105000000,36,0,0.0,0.0,0,0,96,0,0.028460006,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,277,-1,0,32,0.0,0,0,0.0,0,0
137,554,6,408,68,68,68.0,0.0,62,62,62.0,0.0,1407942.238,21660.64982,50.36363636,39.62139,153,4,471,94.2,90.88014084,230,4,397,79.4,65.74420127,163,4,192,192,10830.32491,10830.32491,62,68,65.23076923,3.11324713,9.692307692,0,0,0,70.66666667,408,-1,-1,5,32,0.0,0,0,0.0,0,0
443,10100470,6,1111,531,0,185.1666667,263.1360231,1256,2,206.8571429,465.2885945,253.3545469,1.28706882,841705.8333,2867827.118,9948089,3,152378,30475.6,34934.3158,85819,384,10100000,1678013.333,4077321.671,10000000,3,132,144,0.594031763,0.693037057,0,1256,182.7857143,359.7717607,129435.7198,0,1,0,196.8461538,1111,8192,31088,5,20,152378.0,152378,152378,9948089.0,9948089,9948089
80,47395,3,443,437,0,147.6666666667,250.5879752369,859,0,217.75,427.5093566228,27724.443506699,147.6949045258,7899.1666666667,11972.2861044442,23390,3,23604,11802.0,16291.7402385381,23322,282,24077,8025.6666666667,13555.0251321542,23676,3,72,92,63.2978162253,84.3970883005,0,859,164.25,319.1805355684,101876.214285714,0,1,0,187.7142857143,443,8192,31,2,20,0.0,0,0,0.0,0,0
53,31201,2,72,36,36,36.0,0.0,57,57,57.0,0.0,5961.347393,128.2010192,10400.33333,18009.57563,31196,2,2,2.0,0.0,2,2,3,3.0,0.0,3,3,40,64,64.1005096,64.1005096,36,57,44.4,11.50217371,132.3,0,0,0,55.5,72,-1,-1,1,20,0.0,0,0,0.0,0,0
80,5856246,3,12,6,0,4.0,3.464101615,0,0,0.0,0.0,2.049094249,0.683031416,1952082.0,3306973.794,5770325,54,5856246,2928123.0,4019480.615,5770325,85921,0,0.0,0.0,0,0,72,32,0.512273562,0.170757854,0,6,2.4,3.286335345,10.8,0,1,0,3.0,12,8192,29200,2,20,0.0,0,0,0.0,0,0
53,62265,2,60,30,30,30.0,0.0,132,132,132.0,0.0,5203.565406,64.24154822,20755.0,35945.25042,62261,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,64,64,32.12077411,32.12077411,30,132,70.8,55.86770087,3121.2,0,0,0,88.5,60,-1,-1,1,32,0.0,0,0,0.0,0,0
53,50077,2,74,37,37,37.0,0.0,85,85,85.0,0.0,4872.496356,79.87698944,16692.33333,28907.63934,50072,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,64,64,39.93849472,39.93849472,37,85,56.2,26.29068276,691.2,0,0,0,70.25,74,-1,-1,1,32,0.0,0,0,0.0,0,0
61839,50,3,65,53,6,21.66666667,27.13546265,6,6,6.0,0.0,1420000.0,80000.0,16.66666667,18.17507451,37,2,50,25.0,32.52691193,48,2,0,0.0,0.0,0,0,60,20,60000.0,20000.0,6,53,15.4,21.01903899,441.8,0,0,1,19.25,65,1080,0,2,20,0.0,0,0,0.0,0,0
53,188,2,62,31,31,31.0,0.0,109,109,109.0,0.0,1489361.70212766,21276.5957446809,62.6666666667,106.8097998001,186,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,64,64,10638.2978723404,10638.2978723404,31,109,62.2,42.7223594854,1825.2,0,0,0,77.75,62,-1,-1,1,32,0.0,0,0,0.0,0,0
80,8859,2,12,6,6,6.0,0.0,0,0,0.0,0.0,1354.5546901456,225.7591150243,8859.0,0.0,8859,8859,8859,8859.0,0.0,8859,8859,0,0.0,0.0,0,0,40,0,225.7591150243,0.0,6,6,6.0,0.0,0.0,0,0,1,9.0,12,63586,-1,1,20,0.0,0,0,0.0,0,0
53,613,1,56,56,56,56.0,0.0,116,116,116.0,0.0,280587.2757,3262.642741,613.0,0.0,613,613,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,1631.32137,1631.32137,56,116,76.0,34.64101615,1200.0,0,0,0,114.0,56,-1,-1,0,32,0.0,0,0,0.0,0,0
443,117096046,58,5034,2014,0,86.79310345,376.3628223,2896,0,1223.622951,902.7132096,680.4243416,1.016259763,992339.3729,2950039.95,10000000,0,117000000,2054316.596,4006668.27,10000000,1,112000000,1860908.917,3911598.421,10100000,1,1864,1960,0.495319885,0.520939879,0,2896,663.9583333,897.4096092,805344.0067,0,1,0,669.5378151,5034,29200,1425,6,32,120340.5,1178108,23083,9637660.917,10000000,5414854
80,115938097,16,546,462,0,34.125,114.1098155,512,0,37.0,136.7237529,9.177311234,0.258758775,3997865.414,4874273.939,10000000,205,116000000,7729206.467,4144112.074,10000000,2413,111000000,8501127.769,3756786.842,10000000,33052,332,424,0.13800468,0.120754095,0,512,34.32258065,121.0521615,14653.62581,0,1,0,35.46666667,546,8192,343,15,20,48156.0,160295,36649,9998679.182,10000000,9949654
53,31216,4,116,29,29,29.0,0.0,45,45,45.0,0.0,6599.179908,192.2091235,6243.2,10576.08395,24434,3,24484,8161.333333,14092.55837,24434,4,3,3.0,0.0,3,3,128,64,128.1394157,64.06970784,29,45,33.57142857,7.807200584,60.95238095,0,0,0,39.16666667,116,-1,-1,3,32,0.0,0,0,0.0,0,0
80,3003301,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998900876,1501650.5,710402.6059,2003981,999320,3003301,1501650.5,710402.6059,2003981,999320,0,0.0,0.0,0,0,120,0,0.998900876,0.0,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,-1,0,40,0.0,0,0,0.0,0,0
53,204,2,82,41,41,41.0,0.0,169,169,169.0,0.0,2058823.529,19607.84314,68.0,112.5833025,198,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,40,40,9803.921569,9803.921569,41,169,92.2,70.10848736,4915.2,0,0,0,115.25,82,-1,-1,1,20,0.0,0,0,0.0,0,0
443,5282627,8,366,209,0,45.75,79.07817109,1992,0,742.0,923.7705343,771.5858038,2.460896823,440218.9167,1471969.315,5114018,3,5282627,754661.0,1922494.341,5114018,3,86516,21629.0,25001.6414,53301,194,172,112,1.514398045,0.946498778,0,1992,291.1428571,622.6523733,387695.978,0,1,0,313.5384615,366,8192,119,3,20,168606.0,168606,168606,5114018.0,5114018,5114018
53,61359,4,188,47,47,47.0,0.0,63,63,63.0,0.0,7170.9121726234,130.3802213204,8765.5714285714,23067.6965607546,61078,3,61230,20410.0,35345.9608300581,61224,3,61213,20404.3333333333,35336.1458754819,61207,3,80,80,65.1901106602,65.1901106602,47,63,54.1111111111,8.4327404271,71.1111111111,0,0,0,60.875,188,-1,-1,3,20,0.0,0,0,0.0,0,0
443,6040519,9,2579,1029,0,286.5555555556,428.0625278832,1460,0,491.25,540.3024946401,1077.5564152683,2.8143277093,377532.4375,1217566.60320668,4913259,86,1127065,140883.125,188712.658150985,562846,351,5989015,855573.571428572,1850995.55346619,5001201,193,192,172,1.489938199,1.3243895102,0,1460,361.6111111111,474.3602675169,225017.663398693,0,1,0,382.8823529412,2579,8192,21,8,20,0.0,0,0,0.0,0,0
53,61023,2,90,45,45,45.0,0.0,86,86,86.0,0.0,4293.4631204628,65.5490552742,20341.0,35228.1813893366,61019,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,40,64,32.7745276371,32.7745276371,45,86,61.4,22.4566248577,504.3,0,0,0,76.75,90,-1,-1,1,20,0.0,0,0,0.0,0,0
80,98296334,6,342,342,0,57.0,139.6209153,5792,0,1932.5,2537.820147,121.4389135,0.122079833,8936030.364,29600000.0,98300000,0,98300000,19700000.0,44000000.0,98300000,0,3080,616.0,1043.362114,2466,48,200,200,0.061039916,0.061039916,0,5792,918.2307692,1909.756448,3647169.692,0,0,1,994.75,342,251,235,1,32,3.0,3,3,98300000.0,98300000,98300000
53,30697,2,86,43,43,43.0,0.0,99,99,99.0,0.0,9251.7184089651,130.305893084,10232.3333333333,17717.7250608912,30691,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,40,40,65.152946542,65.152946542,43,99,65.4,30.6724632203,940.8,0,0,0,81.75,86,-1,-1,1,20,0.0,0,0,0.0,0,0
80,115546420,16,801,717,0,50.0625,177.8562973302,224,0,22.3076923077,60.6236815876,9.4420926239,0.2509813805,4126657.85714286,4849153.34255876,10003674,42,115546420,7703094.66666667,4256621.87651334,10158304,14833,111863111,9321925.91666667,2882056.64161819,10158384,170172,332,272,0.1384724858,0.1125088947,0,717,36.3666666667,134.6116978401,18120.3091954023,0,1,0,37.6206896552,801,8192,512,15,20,174217.545454545,370445,154520,9995184.63636364,10003674,9951437
80,5598745,3,12,6,0,4.0,3.464101615,0,0,0.0,0.0,2.14333748,0.714445827,1866248.333,3212191.177,5575343,94,5598745,2799372.5,3925815.13,5575343,23402,0,0.0,0.0,0,0,72,28,0.53583437,0.178611457,0,6,2.4,3.286335345,10.8,0,1,0,3.0,12,8192,10220,2,20,0.0,0,0,0.0,0,0
53,240,2,70,35,35,35.0,0.0,132,132,132.0,0.0,1391666.667,16666.66667,80.0,128.2692481,228,1,11,11.0,0.0,11,11,1,1.0,0.0,1,1,64,64,8333.333333,8333.333333,35,132,73.8,53.12908808,2822.7,0,0,0,92.25,70,-1,-1,1,32,0.0,0,0,0.0,0,0
53,30839,1,60,60,60,60.0,0.0,115,115,115.0,0.0,5674.63277,64.85294595,30839.0,0.0,30839,30839,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,32.42647297,32.42647297,60,115,78.33333333,31.75426481,1008.333333,0,0,0,117.5,60,-1,-1,0,20,0.0,0,0,0.0,0,0
53,23706,2,80,40,40,40.0,0.0,101,101,101.0,0.0,11895.7226,168.7336539,7902.0,13642.51674,23655,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,40,40,84.36682696,84.36682696,40,101,64.4,33.41107601,1116.3,0,0,0,80.5,80,-1,-1,1,20,0.0,0,0,0.0,0,0
80,161881,3,439,439,0,146.3333333,253.4567682,859,0,214.75,429.5,8018.235618,43.24164046,26980.16667,44526.80976,114938,3,138116,69058.0,64884.11824,114938,23178,138768,46256.0,79576.21408,138142,3,104,136,18.53213163,24.70950884,0,859,162.25,320.7138244,102857.3571,0,1,0,185.4285714,439,29200,31,1,32,0.0,0,0,0.0,0,0
443,5435852,6,611,517,0,101.8333333,204.3050823,137,0,37.25,66.5601232,139.8124894,1.839638018,603983.5556,1525514.174,4664160,8,5435852,1087170.4,2124038.631,4884088,8,591281,197093.6667,182689.1437,361453,394,132,88,1.103782811,0.735855207,0,517,69.09090909,154.0308116,23725.49091,0,1,0,76.0,611,8192,31,5,20,0.0,0,0,0.0,0,0
443,155723,10,563,206,0,56.3,73.92045274,1430,0,630.7142857,678.4002541,31967.01836,109.1682025,9732.6875,15207.42083,37147,3,155723,17302.55556,17317.24843,37967,3,97008,16168.0,25425.80609,58137,48,212,152,64.21658971,44.9516128,0,1430,276.5555556,500.0086143,250008.6144,0,1,0,292.8235294,563,8192,343,9,20,0.0,0,0,0.0,0,0
39943,56,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35714.28571,56.0,0.0,56,56,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,17857.14286,17857.14286,0,0,0.0,0.0,0.0,0,0,1,0.0,0,294,291,0,32,0.0,0,0,0.0,0,0
53762,3,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,374,-1,0,32,0.0,0,0,0.0,0,0
443,5066903,6,611,517,0,101.8333333,204.3050823,152,0,41.0,74.05403433,152.9533918,1.973592153,562989.2222,1647036.257,4954795,49,5066903,1013380.6,2236678.048,5014398,49,92478,30826.0,35530.50547,70424,1731,132,92,1.184155292,0.789436861,0,517,70.45454545,154.756818,23949.67273,0,1,0,77.5,611,8192,30,5,20,0.0,0,0,0.0,0,0
